event_id,video,frame_id,video_time_sec,type,type_cn,confidence,direction,message,bbox,source_frame_ids
2-road_obstacle-85,2,85,2.931,road_obstacle,路面障碍,0.6317,right_front,右前方有障碍，请注意避让。,"[290, 0, 505, 256]","[84, 85]"
2-blind_road_occupied-87,2,87,3.0,blind_road_occupied,盲道占用,0.7392,front,前方盲道被占用，请注意绕行。,"[0, 516, 529, 960]","[86, 87]"
2-road_obstacle-90,2,90,3.103,road_obstacle,路面障碍,0.7513,right_front,右前方有障碍，请注意避让。,"[312, 1, 507, 284]","[89, 90]"
2-blind_road_occupied-94,2,94,3.241,blind_road_occupied,盲道占用,0.6250,front,前方盲道被占用，请注意绕行。,"[0, 567, 520, 960]","[93, 94]"
2-road_obstacle-95,2,95,3.276,road_obstacle,路面障碍,0.7921,right_front,右前方有障碍，请注意避让。,"[354, 0, 539, 295]","[94, 95]"
2-blind_road_occupied-114,2,114,3.931,blind_road_occupied,盲道占用,0.6568,front,前方盲道被占用，请注意绕行。,"[0, 196, 540, 959]","[113, 114]"
2-blind_road_occupied-119,2,119,4.103,blind_road_occupied,盲道占用,0.7749,front,前方盲道被占用，请注意绕行。,"[0, 60, 540, 960]","[118, 119]"
2-blind_road_occupied-124,2,124,4.276,blind_road_occupied,盲道占用,0.7415,front,前方盲道被占用，请注意绕行。,"[2, 165, 540, 958]","[123, 124]"
2-blind_road_occupied-129,2,129,4.448,blind_road_occupied,盲道占用,0.7827,front,前方盲道被占用，请注意绕行。,"[61, 292, 539, 960]","[128, 129]"
2-blind_road_occupied-134,2,134,4.621,blind_road_occupied,盲道占用,0.9055,front,前方盲道被占用，请注意绕行。,"[174, 370, 540, 960]","[133, 134]"
2-blind_road_occupied-139,2,139,4.793,blind_road_occupied,盲道占用,0.8138,right_front,前方盲道被占用，建议向右前方绕行。,"[221, 393, 540, 960]","[138, 139]"
2-blind_road_occupied-144,2,144,4.966,blind_road_occupied,盲道占用,0.8510,right_front,前方盲道被占用，建议向右前方绕行。,"[275, 467, 539, 960]","[143, 144]"
2-blind_road_occupied-149,2,149,5.138,blind_road_occupied,盲道占用,0.8532,right_front,前方盲道被占用，建议向右前方绕行。,"[275, 539, 537, 960]","[148, 149]"
2-blind_road_occupied-154,2,154,5.31,blind_road_occupied,盲道占用,0.5939,right_front,前方盲道被占用，建议向右前方绕行。,"[253, 582, 522, 959]","[153, 154]"
2-blind_road_occupied-159,2,159,5.483,blind_road_occupied,盲道占用,0.8103,front,前方盲道被占用，请注意绕行。,"[224, 618, 495, 960]","[158, 159]"
2-blind_road_occupied-164,2,164,5.655,blind_road_occupied,盲道占用,0.8314,front,前方盲道被占用，请注意绕行。,"[221, 654, 483, 960]","[163, 164]"
2-blind_road_occupied-169,2,169,5.828,blind_road_occupied,盲道占用,0.6682,right_front,前方盲道被占用，建议向右前方绕行。,"[225, 695, 496, 960]","[168, 169]"
2-blind_road_occupied-198,2,198,6.828,blind_road_occupied,盲道占用,0.6547,front,前方盲道被占用，请注意绕行。,"[235, 490, 450, 867]","[197, 198]"
